STATE,ELECTORAL VOTE,POPULAR VOTE,TOTAL POPULAR VOTE,,,
,Carter (D),Ford (R),Carter (D),Ford (R),,
AL,9,,659170,504070,19610,1182850
AK,,3,44058,71555,7961,123574
AZ,,6,295602,418642,28475,742719
AR,6,,498604,267903,1028,767535
CA,,45,3742284,3882244,242589,7867117
CO,,7,460353,584367,36834,1081554
CT,,8,647895,719261,14370,1381526
DE,3,,122596,109831,3407,235834
DC,3,,137818,27873,3139,168830
FL,17,,1636000,1469531,45100,3150631
GA,12,,979409,483743,4306,1467458
HI,4,,147375,140003,3923,291301
ID,,4,126549,204151,13371,344071
IL,,26,2271295,2364269,83350,4718914
IN,,13,1014714,1183958,21690,2220362
IA,,8,619931,632863,26512,1279306
KS,,7,430421,502752,24672,957845
KY,9,,615717,531852,19573,1167142
LA,10,,661365,587446,29628,1278439
ME,,4,232279,236320,14617,483216
MD,10,,759612,672661,7624,1439897
MA,14,,1429475,1030276,87807,2547558
MI,,21,1696714,1893742,63293,3653749
MN,10,,1070440,819395,60096,1949931
MS,7,,381309,366846,21206,769361
MO,12,,998387,927443,27770,1953600
MT,,4,149259,173703,5772,328734
NE,,5,233692,359705,14271,607668
NV,,3,92479,101273,8124,201876
NH,,4,147635,185935,6048,339618
NJ,,17,1444653,1509688,60131,3014472
NM,,4,201148,211419,5842,418409
NY,41,,3389558,3100791,43821,6534170
NC,13,,927365,741960,9589,1678914
ND,,3,136078,153470,7640,297188
OH,25,,2011621,2000505,99747,4111873
OK,,8,532442,545708,14101,1092251
OR,,6,490407,492120,47349,1029876
PA,27,,2328677,2205604,86506,4620787
RI,4,,227636,181249,2285,411170
SC,8,,450807,346149,5627,802583
SD,,4,147068,151505,2105,300678
TN,10,,825879,633969,16497,1476345
TX,26,,2082319,1953300,36265,4071884
UT,,4,182110,337908,21180,541198
VT,,3,80954,102085,4726,187765
VA,,12,813896,836554,46644,1697094
WA,,8,717323,777732,60479,1555534
WV,6,,435914,314760,290,750964
WI,11,,1040232,1004987,58956,2104175
WY,,3,62239,92717,1387,156343
