STATE,ELECTORAL VOTE,POPULAR VOTE,TOTAL POPULAR VOTE,,,
,Reagan (R),Mondale (D),Reagan (R),Mondale (D),,
AL,9,,872849,551899,16965,1441713
AK,3,,138377,62007,7221,207605
AZ,7,,681416,333854,10627,1025897
AR,6,,534774,338646,10986,884406
CA,47,,5467009,3922519,115895,9505423
CO,8,,821817,454975,18588,1295380
CT,8,,890877,569597,6426,1466900
DE,3,,152190,101656,726,254572
DC,,3,29009,180408,1871,211288
FL,21,,2730350,1448816,885,4180051
GA,12,,1068722,706628,770,1776120
HI,4,,185050,147154,3642,335846
ID,4,,297523,108510,5111,411144
IL,24,,2707103,2086499,25486,4819088
IN,12,,1377230,841481,14358,2233069
IA,8,,703088,605620,11097,1319805
KS,7,,677296,333149,11546,1021991
KY,9,,821702,539539,8104,1369345
LA,10,,1037299,651586,17937,1706822
ME,4,,336500,214515,2129,553144
MD,10,,879918,787935,8020,1675873
MA,13,,1310936,1239606,8911,2559453
MI,20,,2251571,1529638,20449,3801658
MN,,10,1032603,1036364,15482,2084449
MS,7,,582377,352192,6535,941104
MO,11,,1274188,848583,12,2122783
MT,4,,232450,146742,5185,384377
NE,5,,460054,187866,4170,652090
NV,4,,188770,91655,6242,286667
NH,4,,267051,120395,1620,389066
NJ,16,,1933630,1261323,22909,3217862
NM,5,,307101,201769,5500,514370
NY,36,,3664763,3119609,22438,6806810
NC,13,,1346481,824287,4593,2175361
ND,3,,200336,104429,4206,308971
OH,23,,2678560,1825440,43619,4547619
OK,8,,861530,385080,9066,1255676
OR,7,,685700,536479,4348,1226527
PA,25,,2584323,2228131,32449,4844903
RI,4,,212080,197106,1306,410492
SC,8,,615539,344459,8531,968529
SD,3,,200267,116113,1487,317867
TN,11,,990212,711714,10068,1711994
TX,29,,3433428,1949276,14867,5397571
UT,5,,469105,155369,5182,629656
VT,3,,135865,95730,2966,234561
VA,12,,1337078,796250,13307,2146635
WA,10,,1051670,807352,24888,1883910
WV,6,,405483,328125,2134,735742
WI,11,,1198584,995740,17365,2211689
WY,3,,133241,53370,2357,188968
