STATE,ELECTORAL VOTE,POPULAR VOTE,TOTAL POPULAR VOTE,,,
,Nixon (R),McGovern (D),Nixon (R),McGovern (D),,
AL,9,,728701,256923,20487,1006111
AK,3,,55349,32967,6903,95219
AZ,6,,402812,198540,21574,622926
AR,6,,448541,199892,2887,651320
CA,45,,4602096,3475847,289919,8367862
CO,7,,597189,329980,26715,953884
CT,8,,810763,555498,18016,1384277
DE,3,,140357,92283,2876,235516
DC,,3,35226,127627,568,163421
FL,17,,1857759,718117,7407,2583283
GA,12,,881496,289529,3747,1174772
HI,4,,168865,101409,0,270274
ID,4,,199384,80826,30169,310379
IL,26,,2788179,1913472,21585,4723236
IN,13,,1405154,708568,11807,2125529
IA,8,,706207,496206,23531,1225944
KS,7,,619812,270287,25996,916095
KY,9,,676446,371159,19894,1067499
LA,10,,686852,298142,66497,1051491
ME,4,,256458,160584,0,417042
MD,10,,829305,505781,18726,1353812
MA,,14,1112078,1332540,14138,2458756
MI,21,,1961721,1459435,68571,3489727
MN,10,,898269,802346,41037,1741652
MS,7,,505125,126782,14056,645963
MO,12,,1153852,697147,4804,1855803
MT,4,,183976,120197,13430,317603
NE,5,,406298,169991,0,576289
NV,3,,115750,66016,0,181766
NH,4,,213724,116435,3896,334055
NJ,17,,1845502,1102211,49516,2997229
NM,4,,235606,141084,9551,386241
NY,41,,4192778,2951084,22057,7165919
NC,13,,1054889,438705,25018,1518612
ND,3,,174109,100384,6021,280514
OH,25,,2441827,1558889,94071,4094787
OK,8,,759025,247147,23728,1029900
OR,6,,486686,392760,48500,927946
PA,27,,2714521,1796951,80634,4592106
RI,4,,220383,194645,780,415808
SC,8,,477044,186824,10092,673960
SD,4,,166476,139945,994,307415
TN,10,,813147,357293,30742,1201182
TX,26,,2298896,1154289,18096,3471281
UT,4,,323643,126284,28549,478476
VT,3,,117149,68174,1624,186947
VA*,11,,988493,438887,29639,1457019
WA,9,,837135,568334,65378,1470847
WV,6,,484964,277435,0,762399
WI,11,,989430,810174,53286,1852890
WY,3,,100464,44358,748,145570
