STATE,ELECTORAL VOTE,POPULAR VOTE,TOTAL POPULAR VOTE,,,
,Reagan (R),Carter (D),Reagan (R),Carter (D),,
AL,9,,654192,636730,51007,1341929
AK,3,,86112,41842,30491,158445
AZ,6,,529688,246843,97414,873945
AR,6,,403164,398041,36377,837582
CA,45,,4524858,3083661,978544,8587063
CO,7,,652264,367973,164178,1184415
CT,8,,677210,541732,187343,1406285
DE,3,,111252,105754,18894,235900
DC,,3,23545,131113,20579,175237
FL,17,,2046951,1419475,220504,3686930
GA,,12,654168,890733,51794,1596695
HI,,4,130112,135879,37296,303287
ID,4,,290699,110192,36540,437431
IL,26,,2358049,1981413,410259,4749721
IN,13,,1255656,844197,142180,2242033
IA,8,,676026,508672,132963,1317661
KS,7,,566812,326150,86833,979795
KY,9,,635274,616417,42936,1294627
LA,10,,792853,708453,47285,1548591
ME,4,,238522,220974,63515,523011
MD,,10,680606,726161,133729,1540496
MA,14,,1057631,1053802,411457,2522890
MI,21,,1915225,1661532,332968,3909725
MN,,10,873268,954174,224538,2051980
MS,7,,441089,429281,22250,892620
MO,12,,1074181,931182,94461,2099824
MT,4,,206814,118032,39106,363952
NE,5,,419937,166851,54066,640854
NV,3,,155017,66666,26202,247885
NH,4,,221705,108864,53421,383990
NJ,17,,1546557,1147364,281763,2975684
NM,4,,250779,167826,38366,456971
NY,41,,2893831,2728372,579756,6201959
NC,13,,915018,875635,65180,1855833
ND,3,,193695,79189,28661,301545
OH,25,,2206545,1752414,324644,4283603
OK,8,,695570,402026,52112,1149708
OR,6,,571044,456890,153582,1181516
PA,27,,2261872,1937540,362089,4561501
RI,,4,154793,198342,62937,416072
SC,8,,441841,430385,21845,894071
SD,4,,198343,103855,25505,327703
TN,10,,787761,783051,46804,1617616
TX,26,,2510705,1881147,149784,4541636
UT,4,,439687,124266,40269,604222
VT,3,,94628,81952,36719,213299
VA,12,,989609,752174,124249,1866032
WA,9,,865244,650193,226957,1742394
WV,,6,334206,367462,36047,737715
WI,11,,1088845,981584,202792,2273221
WY,3,,110700,49427,16586,176713
