STATE,ELECTORAL VOTE,POPULAR VOTE,TOTAL POPULAR VOTE,,,
,Johnson (D),Goldwater (R),Johnson (D),Goldwater (R),,
AL,,10,0,479085,210733,689818
AK,3,,44329,22930,0,67259
AZ,,5,237753,242535,482,480770
AR,6,,314197,243264,2965,560426
CA,40,,4171877,2879108,6601,7057586
CO,6,,476024,296767,4195,776986
CT,8,,826269,390996,1313,1218578
DE,3,,122704,78078,538,201320
DC,3,,169796,28801,0,198597
FL,14,,948540,905941,0,1854481
GA,,12,522556,616584,195,1139335
HI,4,,163249,44022,0,207271
ID,4,,148920,143557,0,292477
IL,26,,2796833,1905946,62,4702841
IN,13,,1170848,911118,9640,2091606
IA,9,,733030,449148,2361,1184539
KS,7,,464028,386579,7294,857901
KY,9,,669659,372977,3469,1046105
LA,,10,387068,509225,0,896293
ME,4,,262264,118701,0,380965
MD,10,,730912,385495,50,1116457
MA,14,,1786422,549727,8649,2344798
MI,21,,2136615,1060152,6335,3203102
MN,10,,991117,559624,3721,1554462
MS,,7,52618,356528,0,409146
MO,12,,1164344,653535,0,1817879
MT,4,,164246,113032,1350,278628
NE,5,,307307,276847,0,584154
NV,3,,79339,56094,0,135433
NH,4,,184064,104029,0,288093
NJ,17,,1868231,964174,15258,2847663
NM,4,,194015,132838,1792,328645
NY,43,,4913102,2243559,9614,7166275
NC,13,,800139,624844,0,1424983
ND,4,,149784,108207,398,258389
OH,26,,2498331,1470865,0,3969196
OK,8,,519834,412665,0,932499
OR,6,,501017,282779,2509,786305
PA,29,,3130954,1673657,18079,4822690
RI,4,,315463,74615,13,390091
SC,,8,215723,309048,8,524779
SD,4,,163010,130108,0,293118
TN,11,,634947,508965,34,1143946
TX,25,,1663185,958566,5060,2626811
UT,4,,219628,181785,0,401413
VT,3,,108127,54942,20,163089
VA,12,,558038,481334,2895,1042267
WA,9,,779881,470366,8309,1258556
WV,7,,538087,253953,0,792040
WI,12,,1050424,638495,2896,1691815
WY,3,,80718,61998,0,142716
