STATE,ELECTORAL VOTE,POPULAR VOTE,TOTAL POPULAR VOTE,,,
,Bush (R),Dukakis (D),Bush (R),Dukakis (D),,
AL,9,,815576,549506,13394,1378476
AK,3,,119251,72584,8281,200116
AZ,7,,702541,454029,15303,1171873
AR,6,,466578,349237,11923,827738
CA,47,,5054917,4702233,129915,9887065
CO,8,,728177,621453,22764,1372394
CT,8,,750241,676584,16569,1443394
DE,3,,139639,108647,1605,249891
DC,,3,27590,159407,5880,192877
FL,21,,2618885,1656701,26727,4302313
GA,12,,1081331,714792,13549,1809672
HI,,,158625,192364,3472,354461
ID,4,,253881,147272,7815,408968
IL,24,,2310939,2215940,32241,4559120
IN,12,,1297763,860643,10215,2168621
IA,,8,545355,670557,9702,1225614
KS,7,,554049,422636,16359,993044
KY,9,,734281,580368,7868,1322517
LA,10,,883702,717460,27040,1628202
ME,4,,307131,243569,4335,555035
MD,10,,876167,826304,11887,1714358
MA,,13,1194635,1401415,36755,2632805
MI,20,,1965486,1675783,27894,3669163
MN,,10,962337,1109471,24982,2096790
MS,7,,557890,363921,9716,931527
MO,11,,1084953,1001619,7141,2093713
MT,4,,190412,168936,6326,365674
NE,5,,397956,259235,4274,661465
NV,4,,206040,132738,11289,350067
NH,4,,281537,163696,5841,451074
NJ,16,,1743192,1320352,36009,3099553
NM,5,,270341,244497,6449,521287
NY,,36,3081871,3347882,55930,6485683
NC,13,,1237258,890167,6945,2134370
ND,3,,166559,127739,2963,297261
OH,23,,2416549,1939629,37521,4393699
OK,8,,678367,483423,9246,1171036
OR,,7,560126,616206,25362,1201694
PA,25,,2300087,2194944,41220,4536251
RI,,4,177761,225123,1736,404620
SC,8,,606443,370554,9012,986009
SD,3,,165415,145560,2016,312991
TN,11,,947233,679794,9223,1636250
TX,29,,3036829,2352748,37833,5427410
UT,5,,428442,207343,11223,647008
VT,3,,124331,115775,3222,243328
VA,12,,1309162,859799,22648,2191609
WA,,10,903835,933516,27902,1865253
WV,,5,310065,341016,2230,653311
WI,,11,1047499,1126794,17315,2191608
WY,3,,106867,67113,2571,176551
